listing_id,date
5557377,2015-09-02
1203745,2013-07-25
1203745,2015-08-07
7289007,2015-09-02
7289007,2015-09-05
7289007,2015-09-11
1335748,2015-08-26
1335748,2015-09-06
6748609,2015-06-14
6748609,2015-06-30
6748609,2015-07-06
6748609,2015-07-30
6748609,2015-08-03
6748609,2015-08-08
6748609,2015-08-10
6748609,2015-08-17
6748609,2015-08-21
6748609,2015-08-24
6748609,2015-08-27
6748609,2015-09-01
6748609,2015-09-07
6748609,2015-09-13
6748609,2015-09-22
6748609,2015-09-29
2116226,2014-08-19
2116226,2015-05-10
2116226,2015-07-01
7612050,2015-08-03
7612050,2015-08-10
5608694,2015-06-14
5608694,2015-07-02
5608694,2015-07-05
5608694,2015-07-12
5608694,2015-07-24
5608694,2015-08-19
3051385,2014-07-08
3051385,2014-07-28
3051385,2014-08-11
3051385,2014-10-05
3051385,2014-10-12
3051385,2014-10-27
3051385,2015-05-15
3051385,2015-05-19
3051385,2015-05-21
3051385,2015-05-25
3051385,2015-06-08
3051385,2015-06-16
3051385,2015-06-19
3051385,2015-06-22
3051385,2015-06-27
3051385,2015-06-30
3051385,2015-08-03
3051385,2015-08-09
3051385,2015-08-13
3051385,2015-08-19
3051385,2015-08-26
3051385,2015-09-12
3051385,2015-09-15
3051385,2015-09-19
3051385,2015-09-24
3051385,2015-09-27
3197015,2014-06-10
3197015,2014-06-13
3197015,2014-06-13
3197015,2014-06-23
3197015,2014-07-01
3197015,2014-07-08
3197015,2014-07-22
3197015,2014-08-02
3197015,2014-08-05
3197015,2014-08-10
3197015,2014-08-22
3197015,2014-11-02
3197015,2014-12-23
3197015,2014-12-31
3197015,2015-05-19
3197015,2015-05-28
3197015,2015-07-05
3197015,2015-08-01
3197015,2015-08-19
2290542,2014-08-05
2290542,2015-08-07
1434355,2013-10-06
1434355,2013-10-09
1434355,2014-05-30
1434355,2014-07-08
1434355,2014-07-10
1434355,2014-07-14
1434355,2014-07-18
1434355,2014-07-19
1434355,2014-07-26
1434355,2014-07-27
1434355,2014-08-06
1434355,2014-08-09
1434355,2014-08-19
1434355,2014-08-30
1434355,2014-08-31
1434355,2014-09-02
1434355,2014-09-07
1434355,2015-06-29
1434355,2015-07-03
1434355,2015-08-21
1434355,2015-08-26
6713086,2015-07-30
6713086,2015-08-09
6713086,2015-08-18
6336252,2015-05-16
6336252,2015-05-17
6336252,2015-05-25
6336252,2015-06-02
6336252,2015-06-06
6336252,2015-06-15
6336252,2015-06-18
6336252,2015-06-21
6336252,2015-06-25
6402531,2015-06-06
6402531,2015-06-07
6402531,2015-06-09
6402531,2015-08-11
6402531,2015-08-23
6402531,2015-08-31
2116218,2014-08-24
2116218,2014-10-01
2116218,2015-06-29
4543503,2015-05-19
4543503,2015-06-22
4543503,2015-06-30
4543503,2015-07-05
4543503,2015-07-07
4543503,2015-07-15
4543503,2015-08-04
4543503,2015-08-10
